"9","countryName","totalCases","newCases","totalDeaths","newDeaths","totalRecovered","activeCases","seriousCases","casesPerM","undefined_2"
"0.09","Mexico","717","+132","12","+4","4","701","1","6","Feb 27"
"","Diamond Princess","712","","10","","597","105","15","","Feb 04"
"0.4","Argentina","690","+101","17","+4","72","601","","15","Mar 02"
"4","Slovenia","684","+52","9","","10","665","25","329","Mar 03"
"1","Serbia","659","+131","10","+2","42","607","25","75","Mar 05"
"1","Croatia","657","+71","5","+2","45","607","14","160","Feb 24"
"0.8","Estonia","645","+70","1","","20","624","10","486","Feb 26"
"0.3","Peru","635","","11","","16","608","21","19","Mar 05"
"0.3","Qatar","590","+28","1","+1","45","544","6","205","Feb 28"
"0.5","Hong Kong","560","+41","4","","112","444","5","75","Jan 22"
"0.1","Colombia","539","","6","","10","523","","11","Mar 05"
"0.3","Egypt","536","","30","","116","390","","5","Feb 13"
"1","Iraq","506","+48","42","+2","131","333","","13","Feb 21"
"2","Bahrain","476","+10","4","","265","207","1","280","Feb 23"
"0.2","UAE","468","+63","2","","52","414","2","47","Jan 28"
"0.7","Algeria","454","+45","29","+3","29","396","","10","Feb 24"
"","New Zealand","451","+83","","","50","401","2","94","Feb 27"
"1","Lebanon","412","+21","8","","27","377","3","60","Feb 20"
"2","Lithuania","382","+24","5","","1","376","2","140","Feb 27"
"0.3","Armenia","372","+43","1","","28","343","6","126","Feb 29"
"0.6","Morocco","358","+13","23","","11","324","1","10","Mar 01"
"1","Hungary","343","+43","11","+1","34","298","6","36","Mar 03"
"0.9","Bulgaria","313","+20","6","+3","11","296","8","45","Mar 06"
"0.2","Ukraine","311","+1","8","+3","5","298","","7","Mar 02"
"39","Andorra","308","+41","3","","1","304","10","3,986","Mar 01"
"","Latvia","305","+25","","","1","304","3","162","Mar 01"
"","Slovakia","292","+23","","","2","290","1","53","Mar 05"
"0.08","Taiwan","283","+16","2","","30","251","","12","Jan 20"
"","Uruguay","274","+36","","","","274","8","79","Mar 12"
"0.4","Costa Rica","263","","2","","3","258","5","52","Mar 04"
"1","Bosnia and Herzegovina","257","+20","4","","5","248","1","78","Mar 04"
"2","North Macedonia","241","+22","4","+1","3","234","1","116","Feb 25"
"0.10","Jordan","235","","1","","18","216","","23","Mar 01"
"","Kuwait","235","+10","","","64","171","11","55","Feb 23"
"0.5","Moldova","231","+32","2","","2","227","33","57","Mar 06"
"0.05","Kazakhstan","228","+78","1","","16","211","","12","Mar 12"
"0.6","Tunisia","227","","7","","2","218","10","19","Mar 01"
"619","San Marino","223","","21","","6","196","15","6,572","Feb 26"
"0.5","Burkina Faso","207","+27","11","+2","21","175","","10","Mar 08"
"3","Albania","197","+11","10","+2","31","156","3","68","Mar 07"
"0.4","Azerbaijan","182","+17","4","+1","15","163","23","18","Feb 27"
"4","Cyprus","179","+17","5","","15","159","3","148","Mar 08"
"","Vietnam","174","+11","","","21","153","3","2","Jan 22"
"","Faeroe Islands","155","+11","","","54","101","2","3,172","Mar 03"
"","Oman","152","+21","","","23","129","","30","Feb 23"
"","Malta","149","+10","","","2","147","1","337","Mar 06"
"","Réunion","145","","","","1","144","","162","Mar 10"
"0.2","Ghana","141","+4","5","+1","2","134","1","5","Mar 11"
"","Senegal","130","+11","","","18","112","","8","Mar 01"
"2","Brunei","120","+5","1","+1","25","94","1","274","Mar 08"
"0.3","Cuba","119","+39","3","+1","4","112","2","11","Mar 10"
"0.07","Venezuela","113","","2","","39","72","2","4","Mar 12"
"0.05","Sri Lanka","113","+7","1","+1","9","103","5","5","Jan 26"
"0.1","Afghanistan","110","","4","","2","104","","3","Feb 23"
"0.06","Uzbekistan","104","+16","2","+1","5","97","8","3","Mar 14"
"2","Mauritius","102","+8","2","","","100","1","80","Mar 17"
"","Ivory Coast","101","","","","3","98","","4","Mar 10"
"","Cambodia","99","","","","13","86","1","6","Jan 26"
"0.2","Palestine","97","+6","1","","18","78","","19","Mar 04"
"5","Guadeloupe","96","+23","2","+1","17","77","4","240","Mar 12"
"0.1","Honduras","95","+27","1","","3","91","4","10","Mar 10"
"","Belarus","94","","","","32","62","2","10","Feb 27"
"3","Martinique","93","","1","","","92","12","248","Mar 04"
"0.08","Cameroon","91","","2","","2","87","","3","Mar 05"
"","Georgia","90","+7","","","14","76","1","23","Feb 25"
"0.00","Nigeria","89","+19","1","","3","85","","0.4","Feb 27"
"6","Channel Islands","88","","1","","","87","","506","Mar 08"
"2","Montenegro","82","","1","","","81","1","131","Mar 16"
"1","Trinidad and Tobago","74","+8","2","","1","71","","53","Mar 11"
"","Bolivia","74","+13","","","","74","","6","Mar 09"
"0.07","DRC","58","+7","6","+3","2","50","","0.6","Mar 09"
"","Kyrgyzstan","58","","","","","58","","9","Mar 17"
"0.4","Paraguay","56","+4","3","","1","52","1","8","Mar 06"
"","Gibraltar","56","+1","","","14","42","","1,662","Mar 02"
"","Liechtenstein","56","","","","","56","","1,469","Mar 02"
"","Rwanda","54","","","","","54","","4","Mar 13"
"","Mayotte","50","","","","","50","","183","Mar 13"
"0.03","Bangladesh","48","","5","","15","28","1","0.3","Mar 07"
"","Monaco","42","","","","1","41","","1,070","Feb 27"
"0.02","Kenya","38","+7","1","","1","36","2","0.7","Mar 12"
"","Macao","34","","","","10","24","","52","Jan 21"
"","Aruba","33","","","","1","32","","309","Mar 12"
"0.06","Guatemala","32","+4","1","","4","27","1","2","Mar 12"
"","Isle of Man","32","+3","","","","32","","376","Mar 18"
"0.3","Jamaica","30","+4","1","","2","27","","10","Mar 09"
"","French Polynesia","30","","","","","30","","107","Mar 10"
"","French Guiana","28","","","","6","22","","94","Mar 06"
"","Zambia","28","+6","","","","28","","2","Mar 17"
"","Barbados","26","","","","","26","","90","Mar 16"
"","Madagascar","26","","","","","26","","0.9","Mar 19"
"0.1","Togo","25","","1","","1","23","","3","Mar 05"
"","Uganda","23","","","","","23","","0.5","Mar 20"
"","El Salvador","19","+6","","","","19","","3","Mar 18"
"","Mali","18","+7","","","","18","","0.9","Mar 24"
"","Bermuda","17","","","","2","15","","273","Mar 17"
"","Ethiopia","16","","","","1","15","","0.1","Mar 12"
"","Maldives","16","","","","9","7","","30","Mar 06"
"","New Caledonia","15","","","","","15","","53","Mar 17"
"","Tanzania","13","","","","1","12","","0.2","Mar 15"
"","Djibouti","12","","","","","12","","12","Mar 17"
"","Equatorial Guinea","12","","","","","12","","9","Mar 13"
"","Mongolia","12","+1","","","","12","","4","Mar 09"
"","Dominica","11","","","","","11","","153","Mar 21"
"","Saint Martin","11","","","","","11","","284","Feb 29"
"0.04","Niger","10","","1","","","9","","0.4","Mar 18"
"","Bahamas","10","","","","1","9","","25","Mar 14"
"","Greenland","10","","","","2","8","","176","Mar 15"
"","Eswatini","9","","","","","9","","8","Mar 13"
"15","Cayman Islands","8","","1","","","7","","122","Mar 12"
"6","Curaçao","8","","1","","2","5","","49","Mar 12"
"","Guinea","8","","","","","8","","0.6","Mar 12"
"","Haiti","8","","","","","8","","0.7","Mar 19"
"","Mozambique","8","+1","","","","8","","0.3","Mar 21"
"","Myanmar","8","","","","","8","","0.1","Mar 22"
"","Namibia","8","","","","2","6","","3","Mar 13"
"","Suriname","8","","","","","8","","14","Mar 12"
"0.4","Gabon","7","","1","","","6","","3","Mar 12"
"0.07","Zimbabwe","7","+2","1","","","6","","0.5","Mar 19"
"","Antigua and Barbuda","7","","","","","7","","71","Mar 12"
"","Grenada","7","","","","","7","","62","Mar 21"
"","Seychelles","7","","","","","7","","71","Mar 13"
"","Benin","6","","","","","6","","0.5","Mar 15"
"","Eritrea","6","","","","","6","","2","Mar 20"
"","Vatican City","6","+2","","","","6","","7,491","Mar 05"
"","Laos","6","","","","","6","","0.8","Mar 23"
"2","Cabo Verde","5","","1","","","4","","9","Mar 19"
"1","Guyana","5","","1","","","4","","6","Mar 11"
"0.02","Sudan","5","+2","1","","","4","","0.1","Mar 12"
"","Nepal","5","+1","","","1","4","","0.2","Jan 23"
"","Fiji","5","","","","","5","","6","Mar 18"
"","Mauritania","5","+2","","","","5","","1","Mar 12"
"","Montserrat","5","","","","","5","","1,002","Mar 17"
"","St. Barth","5","","","","","5","","506","Feb 29"
"","Syria","5","","","","","5","","0.3","Mar 21"
"0.2","Nicaragua","4","","1","","","3","","0.6","Mar 18"
"","Angola","4","","","","","4","","0.1","Mar 19"
"","Congo","4","","","","","4","","0.7","Mar 14"
"0.4","Gambia","3","","1","","","2","","1","Mar 16"
"","Bhutan","3","","","","","3","","4","Mar 05"
"","CAR","3","","","","","3","","0.6","Mar 14"
"","Chad","3","","","","","3","","0.2","Mar 18"
"","Liberia","3","","","","","3","","0.6","Mar 15"
"","Saint Lucia","3","","","","1","2","","16","Mar 12"
"","Sint Maarten","3","","","","","3","","70","Mar 17"
"","Somalia","3","","","","","3","","0.2","Mar 15"
"","MS Zaandam","2","","","","","2","","","Mar 26"
"","Anguilla","2","","","","","2","","133","Mar 25"
"","Belize","2","","","","","2","","5","Mar 22"
"","British Virgin Islands","2","","","","","2","","66","Mar 24"
"","Guinea-Bissau","2","","","","","2","","1","Mar 24"
"","Saint Kitts and Nevis","2","","","","","2","","38","Mar 24"
"","Turks and Caicos","2","","","","","2","","52","Mar 22"
"","Libya","1","","","","","1","","0.1","Mar 23"
"","Papua New Guinea","1","","","","","1","","0.1","Mar 19"
"","St. Vincent Grenadines","1","","","","","1","","9","Mar 10"
"","Timor-Leste","1","","","","","1","","0.8","Mar 20"
"2","China","81,394","+54","3,295","+3","74,971","3,128","886","57","Jan 10"
"3.7","Total:","629,684","+33,372","28,970","+1,629","138,089","462,625","24,282","80.8",""
